,iso1661029_a,iso1661029_b,iso1661029_a4096,iso1661029_a4096sc,iso1661029_asc,iso1661029_b4096,iso1661029_b4096sc,iso1661029_bsc
0,-131.9,-98.75,-133.76299002065028,-0.6022648426250883,-3.55209413806388,-99.46168973371617,-0.7093454961943779,-0.6899590029637284
1,-127.6625,-98.27678571428572,-131.50779647943543,-0.5415320165602755,-3.437977391209856,-98.64605305441847,-0.6871274786893218,-0.6770686026782786
2,-123.4953125,-98.83035714285714,-129.19281145539617,-0.47918899356106737,-3.3257541744474373,-98.29780147723933,-0.6776410739771261,-0.6921479388612575
3,-120.10625,-99.44642857142857,-126.86680563909356,-0.41654917835870986,-3.234486024032107,-98.3202010534158,-0.6782512404743257,-0.7089297807423152
4,-117.3828125,-99.05803571428571,-124.57854972108865,-0.35492597568444717,-3.1611432918172975,-98.61651783418492,-0.6863229365974566,-0.698349923904257
5,-109.64375,-100.32142857142858,-122.38592736777869,-0.2958782045837638,-2.9527287464013763,-99.08172317649252,-0.6989951725343384,-0.7327648605154118
6,-102.12708333333333,-102.09375,-120.54300280167607,-0.24624786684193634,-2.7503033665344554,-99.43222352412126,-0.7085428339586,-0.7810430578109173
7,-96.47083333333333,-104.25,-119.36318068553811,-0.21447501450917095,-2.597979390276504,-99.28562420615324,-0.7045494551718012,-0.8397795043946195
8,-93.48437500000001,-106.96875,-117.75982860919778,-0.1712964132080259,-2.5175534529042123,-99.04759307078763,-0.6980654653433214,-0.9138385022610258
9,-89.59375,-110.45535714285714,-114.18052145236346,-0.07490493504182982,-2.41277812116877,-99.46098370300129,-0.7093262638533364,-1.0088139987038232
10,-85.703125,-113.95089285714286,-109.51182968841434,0.050823894731868435,-2.308002789433328,-100.34853414295904,-0.7335032187550956,-1.1040327102463454
11,-80.29375,-116.64285714285715,-105.20988926365179,0.1666760354831882,-2.162327207719232,-101.29476917950244,-0.7592787474180795,-1.1773620628135757
12,-73.30625,-117.70535714285714,-101.39462339144788,0.26942193040214724,-1.9741523950602373,-102.30608443662193,-0.786827067222871,-1.2063046596809066
13,-68.63749999999999,-115.375,-98.08398917727062,0.35857799094386644,-1.8484219969777067,-103.45504738323172,-0.8181249226386149,-1.1428255186525584
14,-62.625,-114.02232142857143,-95.73936789508593,0.4217191244725096,-1.6865041349222933,-104.74630626907117,-0.8532989324119895,-1.1059784310441492
15,-57.300000000000004,-112.64285714285714,-94.20854372770732,0.46294453426289683,-1.5431007893181223,-106.21447082615747,-0.8932918687984865,-1.0684016981365634
16,-52.7453125,-110.47321428571428,-92.4410167312083,0.5105443999424564,-1.420442117828639,-107.9421783158157,-0.9403547783305783,-1.0093004289032734
17,-48.468750000000014,-106.58928571428572,-90.22579203749946,0.5702008567204508,-1.3052734098126135,-109.88396431054375,-0.9932492058581484,-0.9035018605226939
